skill_match_percentage,semantic_similarity_percentage,relevant_experience_years,interview_score,assessment_score,required_skills_matched,total_required_skills,skill_gap_percentage,success
43.7,31.9,4.9,67.5,46.6,2,5,56.3,0
95.6,100.0,6.9,26.6,80.7,3,3,4.4,1
75.9,100.0,1.3,78.8,72.7,4,5,24.1,0
63.9,84.1,0.4,68.9,63.9,5,8,36.1,0
24.0,47.9,2.8,74.1,38.1,2,9,76.0,0
24.0,16.4,2.7,100.0,26.3,2,9,76.0,0
15.2,0.4,6.1,27.5,18.4,0,3,84.8,0
88.0,86.1,2.0,96.0,71.1,4,4,12.0,1
64.1,64.9,2.9,59.8,62.8,3,5,35.9,0
73.7,90.1,4.1,70.2,57.0,2,3,26.3,1
11.9,0.0,4.8,64.2,32.8,1,9,88.1,0
97.3,100.0,5.6,57.4,87.9,4,4,2.7,1
84.9,82.5,3.8,54.7,56.8,4,5,15.1,0
29.1,22.7,1.0,70.9,24.1,2,6,70.9,0
26.4,11.2,4.5,37.7,29.4,1,5,73.6,0
26.5,1.7,1.9,78.5,34.0,2,7,73.5,0
37.4,49.7,7.7,57.5,32.2,2,5,62.6,0
57.2,58.3,3.4,44.7,62.9,4,7,42.8,0
48.9,29.5,4.0,56.9,48.6,2,4,51.1,0
36.2,16.8,15.0,87.6,37.1,2,5,63.8,0
65.1,60.0,5.7,55.4,39.7,3,4,34.9,0
22.6,47.6,4.4,71.5,15.4,1,4,77.4,0
36.3,32.4,3.0,51.8,39.6,3,9,63.7,0
43.0,20.4,1.1,78.6,19.5,1,3,57.0,0
51.0,47.4,2.8,77.3,55.8,2,4,49.0,0
80.7,76.6,1.6,98.3,61.8,3,4,19.3,1
28.0,0.0,9.8,61.8,64.2,3,9,72.0,0
56.3,55.5,4.5,77.0,71.8,5,9,43.7,0
63.3,59.9,7.5,66.8,51.2,3,5,36.7,0
14.2,24.6,2.0,88.3,22.4,1,9,85.8,0
64.7,92.4,1.7,52.1,63.8,3,5,35.3,0
25.3,42.2,5.3,78.4,47.2,2,6,74.7,0
15.9,11.8,1.5,61.5,8.1,1,9,84.1,0
95.4,78.8,2.3,63.8,54.4,3,3,4.6,1
96.9,100.0,10.1,66.7,66.9,4,4,3.1,1
82.8,83.6,2.4,69.5,70.5,2,3,17.2,0
37.4,37.6,0.8,62.9,42.4,3,7,62.6,0
18.8,18.4,0.5,68.9,37.0,2,9,81.2,0
71.6,74.6,0.7,93.4,46.0,3,4,28.4,0
49.6,47.4,7.8,82.7,21.6,1,3,50.4,0
21.0,12.4,2.1,80.6,36.2,2,9,79.0,0
54.6,46.4,15.0,56.8,39.5,5,9,45.4,0
13.1,12.6,9.1,49.0,2.7,1,6,86.9,0
91.8,83.7,11.7,82.2,71.6,6,6,8.2,1
33.3,22.6,6.7,80.8,42.9,1,4,66.7,0
